NOMBRE OLT,SLOT,PTO,IP,CABLE,SPLITTER
OH_ATLALEDIC_I_7360_Barranquilla_Estadio_3,1,1,10.37.55.142,1,1
OH_ATLALNNTD_I_7360_Barranquilla_NuevoHorizonte_4,1,1,10.37.55.174,1,1
OH_ATLALTBOB_I_7360_Barranquilla_Tabor_2,4,3,10.37.53.190,1,1
OH_ATLALBREB_I_7360_Barranquilla_BuenosAires_2,2,15,10.37.50.202,1,1
OH_ATLHIVRIA_I_5800_Barranquilla_Victoria_1,1,1,10.37.52.2,1,1
OH_ATLHISSCO_I_5800_Barranquilla_SanFrancisco,1,0,10.37.40.114,1,1
OH_ATLHIDIAS_I_5800_Barraquilla_Delicias,1,0,10.37.40.22,1,1
OH_ATLALTDAD_I_7360_Barranquilla_Trinidad,5,6,10.37.54.246,1,1
OH_ATLALSNTC_I_7360_Barranquilla_SanVicente_3,1,1,10.37.50.198,1,1
OH_ATLHICTRO_I_5800_Barranquilla_Centro,1,0,10.37.40.18,1,1
OH_ATLHICIBE_I_5800_Barraquilla_Caribe,1,0,10.37.40.46,1,1
OH_BOGHIVRIA_I_5800_VillaMaria_23000,1,0,10.37.50.46,1,1
OH_BOGALGDOS_I_7360_CentrodeGravedad2_1,5,13,10.37.53.242,1,1
OH_BOGHICTRO_I_5800_51261_Centro_1,1,1,10.37.52.90,1,1
OH_BOGALCGOB_I_7360_32030_Bogota_Colfrigos_2,6,4,10.37.54.254,1,1
OH_BOGALMATF_I_7360_21000_Morato_6,3,4,10.37.54.90,1,1
OH_BOGHIMCOS_I_5800_53000_Marruecos_1,1,1,10.37.52.150,1,1
OH_BOGALASTF_I_7360_11000_Autopista_6,1,1,10.37.60.34,1,1
OH_BOGHIEOLA_I_5800_23106_LaEspanola,2,7,10.37.60.18,1,1
OH_BOGALEIVA_I_7360_32050_Engativa_1,1,2,10.37.54.62,1,1
OH_SANALPQUE_I_7360_Bucaramanga_Parque_1,1,1,10.37.50.138,1,1
OH_SANALDNTE_I_7360_Bucaramanga_Diamante_1,1,3,10.37.50.126,1,1
OH_SANALCTRO_I_7360_Bucaramanga_Centro_1,1,1,10.37.50.114,1,1
OH_SANALFIDA_I_7360_Bucaramanga_Florida_1,1,1,10.37.50.130,1,1
OH_SANALALES_I_7360_Bucaramanga_Arenales_1,1,1,10.37.50.102,1,1
OH_SANALCROS_I_7360_Bucaramanga_Comuneros_1,5,8,10.37.50.122,1,1
OH_SANALKEDY_I_7360_Bucaramanga_Kennedy_1,1,2,10.37.52.202,1,1
OH_SANALCELA_I_7360_Bucaramanga_Ciudadela_1,1,1,10.37.50.118,1,1
OH_VALALMADC_I_7360_Cali_Morada_3,1,2,10.37.55.242,1,1
OH_VALALCEAF_I_7360_Cali_CaminoReal_6,1,1,10.37.55.230,1,1
