CINUM,TIPO_EQUIPO,DESCRIPTION,CLASSSTRUCTUREID,DESCRIPTIONCLASSTRUCTUREID,CILOCATION,Direeción,JERARQUIA,STATUS,SIT_LOCATION,SIT_DESCRIPTION,OPERACION,PERSONGROUP,DIRECCION_IP,NOMBRE_OSS,DIRECCION_IP - NOMBRE_OSS,ZONA_OPERACIONES,ZONA_COMERCIAL,DEPTO_LOCATION,DEPTO_DESCRIPTION,MUN_LOCATION,MUN_DESCRIPTION,LOC_LOCATION,LOC_DESCRIPTION,BASERVICIO,DXSERVICIO,LINEAS_SERV,CIRCUITOS_SER,E1_SER,IPTV_SERVICIO,FABRICANTE,TIPO_SERVICIO,RED,PROVEEDOR_RED_PR,COMUNA_PR,POLIGONO_PR,REGION_PR,ZONA_OPERATIVA_PR,MES Clousing,MES,Año,Fecha Ope,Ing PE,Latitud,Longitud,Sala,Fila,Rack,Olt Corto,Fecha Cosecha,NUEVA ZONA ONNET,ZONA Secuoya,ZONA Dane,SIT_LOCATION2
OLT_FTTH_S651_04,OLT_FTTH,ISAM7360 OH_ANTALAUED_I_7360_MEDELLIN_ARANJUEZ_4 / OLT_FTTH / OLT_FTTH_S651_04,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S651,CARRERA 51 # 89 - 48,P_3,OPERATING,S651,MEDELLIN_ARANJUEZ,COLTEL,O_CAMME,10.37.53.106,OH_ANTALAUED_I_7360_Medellin_Aranjuez_4,10.37.53.106 - OH_ANTALAUED_I_7360_Medellin_Aranjuez_4,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"254,00",",00","254,00",",00",",00","134,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Septiembre,2026-09-22T00:00:00,2022,,Oscar Alberto Briceño Ramirez,6.28167,-75.5608,Transmisión,1A,1A,OH_ANTALAUED_I_7360,2022-08-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S16046
OLT_FTTH_S651_05,OLT_FTTH,ISAM7360 OH_ANTALAUEE_I_7360_MEDELLIN_ARANJUEZ_5 / OLT_FTTH / OLT_FTTH_S651_05,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S651,CARRERA 51 # 89 - 48,P_3,OPERATING,S651,MEDELLIN_ARANJUEZ,COLTEL,O_CAMME,10.37.53.118,OH_ANTALAUEE_I_7360_Medellin_Aranjuez_5,10.37.53.118 - OH_ANTALAUEE_I_7360_Medellin_Aranjuez_5,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"1.378,00",",00","1.378,00",",00",",00","739,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Noviembre,2026-11-22T00:00:00,2022,,Oscar Alberto Briceño Ramirez,6.28167,-75.5608,Transmision Piso 1,1,1,OH_ANTALAUEE_I_7360,2022-10-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S17719
OLT_FTTH_S651_06,OLT_FTTH,ISAM7360 OH_ANTALAUEF_I_7360_MEDELLIN_ARANJUEZ_6 / OLT_FTTH / OLT_FTTH_S651_06,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S651,CARRERA 51 # 89 - 48,P_3,OPERATING,S651,MEDELLIN_ARANJUEZ,COLTEL,O_CAMME,10.37.54.30,OH_ANTALAUEF_I_7360_Medellin_Aranjuez_6,10.37.54.30 - OH_ANTALAUEF_I_7360_Medellin_Aranjuez_6,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"360,00",",00","361,00",",00",",00","166,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Enero,ene-23,2023,,Oscar Alberto Briceño Ramirez,6.28167,-75.5608,Transmision Piso 1,1,8,OH_ANTALAUEF_I_7360,2022-12-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S20675
OLT_FTTH_S14048_02,OLT_FTTH,ISAM7360 OH_ANTALBLLB_I_7360_BELLO_CENTRO_2 / OLT_FTTH / OLT_FTTH_S14048_02,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S14048,CARRERA 50 # 46-46 BELLO,D_2,OPERATING,S659,BELLO_CENTRO,COLTEL,O_CAMME,10.37.54.250,OH_ANTALBLLB_I_7360_Bello_Centro_2,10.37.54.250 - OH_ANTALBLLB_I_7360_Bello_Centro_2,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05088,BELLO,5088000,BELLO,"60,00",",00","60,00",",00",",00","36,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,BELLO,AM ANTIOQUIA,MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Enero,ene-24,2024,,Oscar Alberto Briceño Ramirez,6.332222,-75.558111,Salon Tx 2,1,1,OH_ANTALBLLB_I_7360,2023-12-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S20449
OLT_FTTH_S14048_01,OLT_FTTH,ISAM7360 OH_ANTALBLLO_I_7360_BELLO_CENTRO / OLT_FTTH / OLT_FTTH_S14048_01,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S14048,CARRERA 50 # 46-46 BELLO,D_2,OPERATING,S659,BELLO_CENTRO,COLTEL,O_CAMME,10.37.54.114,OH_ANTALBLLO_I_7360_Bello_Centro,10.37.54.114 - OH_ANTALBLLO_I_7360_Bello_Centro,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05088,BELLO,5088000,BELLO,"35,00",",00","35,00",",00",",00","9,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,BELLO,AM ANTIOQUIA,MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Junio,2026-06-23T00:00:00,2023,,Oscar Alberto Briceño Ramirez,6.332222,-75.558111,Salon Tx 2,1,1,OH_ANTALBLLO_I_7360,2023-05-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S23271
OLT_FTTH_S29736_01,OLT_FTTH,ISAM7360 OH_ANTALCANA_I_7360_COPACABANA_CENTRO / OLT_FTTH / OLT_FTTH_S29736_01,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S29736,"Calle 53 No. 57-27, Copacabana, Antioquia",B_2,OPERATING,S29736,COPACABANA CENTRO FIJA,COLTEL,O_CAMME,10.37.65.158,OH_ANTALCANA_I_7360_Copacabana_Centro,10.37.65.158 - OH_ANTALCANA_I_7360_Copacabana_Centro,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05212,COPACABANA,5212000,COPACABANA,0,0,0,0,0,0,NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,COPACABANA,AREA METROPOLITANA ANTIOQUIA,NOROCCIDENTE,NOROCCIDENTE,Noviembre,2026-11-24T00:00:00,2024,,Oscar Alberto Briceño Ramirez,,,,,,OH_ANTALCANA_I_7360,2024-10-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S23271
OLT_FTTH_S10080__01,OLT_FTTH,,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S10080,CALLE 122 SUR  - CARRERA 54 ESQUINA,B_2,OPERATING,S10080,CALDAS_CENTRO,Onnet,,10.37.65.234,OH_ANTALCDAS_I_7360_Caldas_Centro,10.37.65.234 - OH_ANTALCDAS_I_7360_Caldas_Centro,,,,CALDAS,,CALDAS,5129000,CALDAS,,,,,,,NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,CALDAS,ANTIOQUIA (GIRARDOTA/CALDAS),MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Febrero,2026-02-25T00:00:00,2025,,Oscar Alberto Briceño Ramirez,609739153,-756362454,Salon 1,1,1,OH_ANTALCDAS_I_7360,2025-01-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S12972
OLT_FTTH_S9120_01,OLT_FTTH,ISAM7360 OH_ANTALCLLA_I_7360_MEDELLIN_CASTILLA / OLT_FTTH / OLT_FTTH_S9120_01,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S9120,"CARRERA 68 NO 100-59, CASTILLA",B_2,OPERATING,S9120,MEDELLIN_CASTILLA,COLTEL,O_CAMME,10.37.55.14,OH_ANTALCLLA_I_7360_Medellin_Castilla,10.37.55.14 - OH_ANTALCLLA_I_7360_Medellin_Castilla,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"229,00",",00","229,00",",00",",00","139,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Agosto,ago-23,2023,,Oscar Alberto Briceño Ramirez,6.296249,-75.570524,Piso 1,1,1,OH_ANTALCLLA_I_7360,2023-07-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S6798
OLT_FTTH_S9120_02,OLT_FTTH,ISAM7360 OH_ANTALCLLB_I_7360_MEDELLIN_CASTILLA_2 / OLT_FTTH / OLT_FTTH_S9120_02,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S9120,"CARRERA 68 NO 100-59, CASTILLA",B_2,OPERATING,S9120,MEDELLIN_CASTILLA,COLTEL,O_CAMME,10.37.55.90,OH_ANTALCLLB_I_7360_Medellin_Castilla_2,10.37.55.90 - OH_ANTALCLLB_I_7360_Medellin_Castilla_2,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"86,00",",00","86,00",",00",",00","29,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Octubre,2026-10-23T00:00:00,2023,,Oscar Alberto Briceño Ramirez,6.296249,-75.570524,,,,OH_ANTALCLLB_I_7360,2023-09-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S23784
OLT_FTTH_S9120_03,OLT_FTTH,ISAM7360 OH_ANTALCLLC_I_7360_MEDELLIN_CASTILLA_3 / OLT_FTTH / OLT_FTTH_S9120_03,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S9120,"CARRERA 68 NO 100-59, CASTILLA",B_2,OPERATING,S9120,MEDELLIN_CASTILLA,COLTEL,O_CAMME,10.37.65.34,OH_ANTALCLLC_I_7360_Medellin_Castilla_3,10.37.65.34 - OH_ANTALCLLC_I_7360_Medellin_Castilla_3,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,43,0,43,0,0,27,NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Junio,2026-06-24T00:00:00,2024,,Oscar Alberto Briceño Ramirez,6.296249,-75.570524,,,,OH_ANTALCLLC_I_7360,2024-05-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S23784
