CSTASK (Asunto),CSTASK (Descripcion)
Error Activacion SOM - TDC,"► PRODUCTID: CAI_ONT42000120202607060921553962223079 ► ACT SOM NO EJECUTA
Cordial saludo, solicito su colaboración con el servicio CAI_ONT42000120202607060921553962223079, no se ejecuta completamente la activación en SOM, se presenta el error:

►◄"
OnuID Existente - TDC,"► PRODUCTID: CAI_ONT42000120202607060921553962223079 ► ONUID EXISTENTE

Cordial saludo, por favor su colaboración con el CAI_ONT42000120202607060921553962223079 se encuentra configurado un servicio en las vías asignadas
► OLT: 10.37.53.78 - OH_SANALPSTC_I_7360_Piedecuesta_3
► SLOT: 15
► PORT: 10
► ONUID: 35"
OnuID Existente - TDC,
Vlan Duplicada - TDC,"► PRODUCTID: CAI_ONT42000120202607060921553962223079 ► VLAN DUPLICADA
Cordial saludo, Se presenta VLAN duplicada ►2032:1934◄ sobre el servicio configurado CAI_ONT42000120202607060921553962223079"
Vlan Duplicada - TDC,► ONUID: Vlan Duplicada - TDC
Inconsistencia Recursos - TDC,"► PRODUCTID: CAI_ONT42000120202607060921553962223079 ► INCONSISTENCIA VLAN
Cordial saludo, solicito su amable colaboración con el servicio ► PRODUCTID: CAI_ONT42000120202607060921553962223079, las Vlan asignadas al cliente corporativo son ►2032:2032◄ y las que corresponden por ser corporativo son ► 2500:2032◄"
Inconsistencia Password - TDC,"► PRODUCTID: CAI_ONT42000120202607060921553962223079 ► INCONSISTENCIA PASSWORD
Cordial saludo, Se presenta error en password que aparece en recursos asignados en BluePlanet y Beesion,
aparece el ► PASSWORD: 9U7V0CQVD8
 y debería ser ► PASSWORD: 9U7V0CQVD8 "
Cambio De Serial - TDC,"Cordial saludo, se realiza cambio de serial solicitado por el VNO para el ► PRODUCTID: CAI_ONT42000120202607060921553962223079, por favor actualizar en todos los sistemas
El serial actualizado es…9U7V0CQVD8"
Vlan No Creada En OLT - TDC,"Cordial saludo, la ► NETWORKVLAN: 2032 no está creada en la ► OLT: 10.37.53.78 - OH_SANALPSTC_I_7360_Piedecuesta_3 para el ► PRODUCTID: CAI_ONT42000120202607060921553962223079, por favor su apoyo creando la VLAN para el servicio."
Inconsistencia Dependencias - TDC,"► PRODUCTID: CAI_ONT42000120202607060921553962223079 ► INCONSISTENCIA DEPENDENCIAS FALTANTES 

Cordial saludo, solicito su apoyo con el CAI_ONT42000120202607060921553962223079 no se observan todas las dependencias en los sistemas
• HSI (100) ► Si aparece en BluePlanet y Si aparece en Beesion
• VOIP (101) ► Si aparece en BluePlanet y Si aparece en Beesion
• IPTV (102) ► Si aparece en BluePlanet y Si aparece en Beesion

Se configura dependencia faltante

▼ Se observa en los sistemas ...
- Error 608 en MODIFICACIONES SOM
- Activación de la dependencia faltante finalizada con éxito en MODIFICACIONES SOM
- No Aparece todas las dependencias en Beesion al consultar ''dependencies''
- No Aparecen todas las dependencias en Beesion al consultar ''Extended Detail''"
